city,datetime,temperature,humidity
Berlin,2025-04-04T00:00,12.1,65
Berlin,2025-04-04T01:00,11.5,65
Berlin,2025-04-04T02:00,10.5,72
Berlin,2025-04-04T03:00,10.4,73
Berlin,2025-04-04T04:00,9.8,76
Berlin,2025-04-04T05:00,8.6,83
Berlin,2025-04-04T06:00,8.1,84
Berlin,2025-04-04T07:00,7.9,83
Berlin,2025-04-04T08:00,8.4,75
Berlin,2025-04-04T09:00,9.8,69
Berlin,2025-04-04T10:00,12.4,59
Berlin,2025-04-04T11:00,15.6,48
Berlin,2025-04-04T12:00,17.8,44
Berlin,2025-04-04T13:00,19.2,42
Berlin,2025-04-04T14:00,20.0,40
Berlin,2025-04-04T15:00,20.5,38
Berlin,2025-04-04T16:00,20.8,36
Berlin,2025-04-04T17:00,20.8,35
Berlin,2025-04-04T18:00,20.6,38
Berlin,2025-04-04T19:00,20.0,40
Berlin,2025-04-04T20:00,18.6,40
Berlin,2025-04-04T21:00,17.0,43
Berlin,2025-04-04T22:00,15.1,53
Berlin,2025-04-04T23:00,12.8,55
Paris,2025-04-04T00:00,16.6,53
Paris,2025-04-04T01:00,15.7,54
Paris,2025-04-04T02:00,14.9,57
Paris,2025-04-04T03:00,14.1,60
Paris,2025-04-04T04:00,13.7,60
Paris,2025-04-04T05:00,13.5,60
Paris,2025-04-04T06:00,13.5,59
Paris,2025-04-04T07:00,13.5,60
Paris,2025-04-04T08:00,13.6,59
Paris,2025-04-04T09:00,13.8,58
Paris,2025-04-04T10:00,14.3,57
Paris,2025-04-04T11:00,16.8,50
Paris,2025-04-04T12:00,18.5,45
Paris,2025-04-04T13:00,20.9,39
Paris,2025-04-04T14:00,22.8,31
Paris,2025-04-04T15:00,23.9,27
Paris,2025-04-04T16:00,24.3,29
Paris,2025-04-04T17:00,24.1,28
Paris,2025-04-04T18:00,23.6,29
Paris,2025-04-04T19:00,22.8,33
Paris,2025-04-04T20:00,21.7,30
Paris,2025-04-04T21:00,20.5,32
Paris,2025-04-04T22:00,19.2,44
Paris,2025-04-04T23:00,18.2,45
Madrid,2025-04-04T00:00,10.2,89
Madrid,2025-04-04T01:00,10.0,90
Madrid,2025-04-04T02:00,10.3,88
Madrid,2025-04-04T03:00,10.3,84
Madrid,2025-04-04T04:00,10.2,85
Madrid,2025-04-04T05:00,10.1,91
Madrid,2025-04-04T06:00,9.9,94
Madrid,2025-04-04T07:00,9.9,95
Madrid,2025-04-04T08:00,9.8,94
Madrid,2025-04-04T09:00,10.1,92
Madrid,2025-04-04T10:00,11.0,89
Madrid,2025-04-04T11:00,12.1,85
Madrid,2025-04-04T12:00,13.6,79
Madrid,2025-04-04T13:00,14.2,75
Madrid,2025-04-04T14:00,14.2,70
Madrid,2025-04-04T15:00,13.9,74
Madrid,2025-04-04T16:00,13.7,79
Madrid,2025-04-04T17:00,13.0,83
Madrid,2025-04-04T18:00,13.0,83
Madrid,2025-04-04T19:00,12.3,84
Madrid,2025-04-04T20:00,11.7,89
Madrid,2025-04-04T21:00,11.1,88
Madrid,2025-04-04T22:00,10.7,89
Madrid,2025-04-04T23:00,10.3,88
Rome,2025-04-04T00:00,11.5,94
Rome,2025-04-04T01:00,11.1,94
Rome,2025-04-04T02:00,10.8,92
Rome,2025-04-04T03:00,10.3,93
Rome,2025-04-04T04:00,9.9,89
Rome,2025-04-04T05:00,9.4,87
Rome,2025-04-04T06:00,8.9,86
Rome,2025-04-04T07:00,8.4,86
Rome,2025-04-04T08:00,8.8,87
Rome,2025-04-04T09:00,11.0,75
Rome,2025-04-04T10:00,13.9,61
Rome,2025-04-04T11:00,16.4,51
Rome,2025-04-04T12:00,18.4,47
Rome,2025-04-04T13:00,19.8,45
Rome,2025-04-04T14:00,20.7,43
Rome,2025-04-04T15:00,21.0,41
Rome,2025-04-04T16:00,20.7,40
Rome,2025-04-04T17:00,19.4,41
Rome,2025-04-04T18:00,18.7,50
Rome,2025-04-04T19:00,17.2,63
Rome,2025-04-04T20:00,15.6,80
Rome,2025-04-04T21:00,14.6,87
Rome,2025-04-04T22:00,13.7,93
Rome,2025-04-04T23:00,13.0,97
Vienna,2025-04-04T00:00,13.1,49
Vienna,2025-04-04T01:00,12.4,52
Vienna,2025-04-04T02:00,11.9,52
Vienna,2025-04-04T03:00,11.0,56
Vienna,2025-04-04T04:00,10.2,61
Vienna,2025-04-04T05:00,8.4,69
Vienna,2025-04-04T06:00,8.3,67
Vienna,2025-04-04T07:00,7.8,68
Vienna,2025-04-04T08:00,8.1,66
Vienna,2025-04-04T09:00,9.8,59
Vienna,2025-04-04T10:00,12.7,48
Vienna,2025-04-04T11:00,14.5,43
Vienna,2025-04-04T12:00,16.3,36
Vienna,2025-04-04T13:00,17.8,30
Vienna,2025-04-04T14:00,18.5,27
Vienna,2025-04-04T15:00,19.0,27
Vienna,2025-04-04T16:00,19.3,27
Vienna,2025-04-04T17:00,19.0,28
Vienna,2025-04-04T18:00,18.7,31
Vienna,2025-04-04T19:00,18.1,30
Vienna,2025-04-04T20:00,17.1,36
Vienna,2025-04-04T21:00,15.8,41
Vienna,2025-04-04T22:00,14.6,47
Vienna,2025-04-04T23:00,13.8,49
